"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.866097042E1,-1.494269818E-4,-5.637877621E-4,1.360130263E-3
6.891066142E1,1.853369176E-4,-3.419215791E-4,-1.391103258E-3
6.916035142E1,-1.691188663E-5,3.101215698E-4,1.894321758E-4
6.941004142E1,7.643038407E-5,1.575788483E-4,-1.238652621E-3
6.965973087E1,3.402060829E-4,1.352090389E-3,2.287677955E-3
6.990942088E1,-6.780992262E-4,-6.826091558E-4,-5.625793710E-5
7.015911087E1,1.633972861E-4,-1.247343607E-3,1.787270885E-3
7.040880087E1,-5.276920274E-5,-1.247792505E-3,6.091515534E-4
7.065849029E1,-2.763126977E-4,-1.356578432E-4,-4.005895462E-4
7.090818129E1,-2.319924533E-4,-1.288106665E-3,-2.949123736E-4
7.115787129E1,3.632763401E-5,3.212820739E-4,1.047784463E-3
7.140756129E1,-3.697485663E-4,-6.989981048E-4,-1.167165581E-3
7.165725150E1,1.064134995E-3,-4.049087875E-4,2.718539909E-3
7.190694150E1,1.233283663E-3,-1.897829119E-3,-1.325193560E-3
7.215663150E1,1.229351619E-3,8.624847978E-4,6.657668855E-4
7.240632250E1,-2.450901084E-4,-7.284670137E-4,6.599370390E-4
7.265601300E1,2.258601831E-3,-3.657410853E-4,4.880945198E-4
7.290570300E1,5.972851068E-4,8.353726007E-4,-4.675167147E-4
7.315539300E1,-8.449680172E-4,9.290468879E-4,1.562200719E-3
7.340508300E1,-3.953914158E-3,2.008894458E-3,-6.648346316E-4
7.365477342E1,2.336688340E-6,-1.122237649E-3,-3.348183818E-4
7.390446342E1,2.186842030E-3,-5.149715580E-4,1.666393364E-3
7.415415342E1,3.182599321E-4,1.292424276E-3,1.470215153E-3
7.440384342E1,2.349520102E-3,4.678103141E-4,-1.239267644E-3
7.465353400E1,3.730105236E-4,2.649039961E-4,7.799249142E-4
7.490322500E1,-2.076118253E-4,1.541329082E-3,1.484460197E-3
7.515291500E1,1.535511576E-3,-1.527485903E-3,1.194881974E-3
7.540260500E1,-6.218566559E-4,9.685307741E-4,-4.559063818E-4
7.565229429E1,7.803249173E-4,-7.597398944E-4,-9.741617832E-4
7.590198429E1,1.206062501E-3,1.429723110E-3,-1.293765381E-3
7.615167529E1,1.234832685E-3,2.416640054E-3,1.414748142E-3
7.640136529E1,1.203749795E-3,-4.512998275E-4,-1.684642630E-3
7.665105588E1,3.019012744E-3,2.811397426E-4,1.437139930E-3
7.690074587E1,2.312390832E-3,1.388259698E-3,9.972155094E-4
7.715043687E1,2.319637220E-3,-2.432408277E-3,3.179823980E-4
7.740012688E1,-1.580660231E-3,1.167881303E-3,-2.060146537E-3
7.764981637E1,1.781176310E-3,-3.418796696E-4,-1.511993702E-3
7.789950637E1,9.960480966E-4,1.226979308E-3,-8.353216108E-4
7.814919737E1,-1.361787319E-3,1.046638004E-3,1.504797721E-3
7.839888738E1,-7.162238471E-4,1.001611352E-3,2.352393931E-3
7.864857750E1,3.164312802E-4,-3.854050301E-4,-3.334979992E-4
7.889826750E1,1.050049672E-3,8.556414396E-4,-4.778602161E-4
7.914795850E1,7.730196230E-4,-3.582159989E-4,-7.063159719E-4
7.939764850E1,-8.761710487E-4,1.274588052E-3,-2.299905755E-4
7.964733837E1,-1.119148452E-3,-1.270468347E-4,6.162461359E-4
7.989702837E1,1.946978504E-3,1.858880278E-3,-7.020796183E-4
8.014671937E1,-1.976817846E-3,3.731669858E-4,1.438343897E-3
8.039640938E1,3.416319843E-3,1.365770586E-4,2.379046520E-3
8.064609954E1,5.195671692E-4,1.602778211E-4,2.373573137E-3
8.089578954E1,1.929285470E-3,1.415751409E-3,-7.585256826E-4
8.114548054E1,-7.128440775E-4,-8.639344014E-4,-2.359915525E-4
8.139517054E1,-1.171057113E-3,1.429382712E-3,4.484611563E-4
8.164486067E1,-7.300665602E-4,2.198532689E-3,-8.342319634E-4
8.189455167E1,-1.911290456E-3,9.272447787E-4,3.225624096E-4
8.214424167E1,-3.269352019E-4,-6.593824364E-4,-2.494971035E-3
8.239393167E1,1.685431926E-3,-7.879645564E-4,1.940759830E-4
8.264362312E1,5.209390074E-4,3.020530567E-3,-8.683037013E-4
8.289331313E1,-1.299097203E-4,6.918008439E-4,9.030983783E-4
8.314300312E1,1.054482069E-3,2.778498456E-3,-1.113195904E-4
8.339269312E1,-4.873001017E-4,-1.939564012E-3,2.291540848E-3
8.364238367E1,-2.736192662E-3,1.288359985E-3,9.134407155E-4
8.389207367E1,1.320810523E-3,6.468519568E-4,-6.894320250E-4
8.414176467E1,6.385180168E-4,7.503344677E-4,4.074808676E-4
8.439145467E1,-6.228946149E-4,-1.257213764E-3,-2.601030981E-3
8.464114542E1,-5.941260606E-4,-6.632320583E-4,-3.182910383E-3
8.489083642E1,4.174299538E-4,-2.805176191E-4,6.303326227E-4
