"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.383284367E2,3.772155762E-2,2.170486450E-1,9.780361633E0
1.385781259E2,4.520599365E-2,2.152523804E-1,9.774374084E0
1.388278169E2,3.472778320E-2,2.098635864E-1,9.767787781E0
1.390775079E2,4.161346436E-2,2.122586060E-1,9.774523773E0
1.393271999E2,3.562591553E-2,2.086660767E-1,9.789492645E0
1.395768894E2,3.951782227E-2,2.216889954E-1,9.783205719E0
1.398265804E2,3.847000122E-2,2.106120300E-1,9.781858521E0
1.400762724E2,3.951782227E-2,2.218386841E-1,9.790690155E0
1.403259634E2,4.011657715E-2,2.191442871E-1,9.785001984E0
1.405756557E2,3.667373657E-2,2.228865051E-1,9.776170349E0
1.408253467E2,3.188369751E-2,1.983375549E-1,9.779313812E0
1.410750377E2,3.742218018E-2,2.115101624E-1,9.773475952E0
1.413247297E2,3.996688843E-2,2.085163879E-1,9.772278442E0
1.415744206E2,4.685256958E-2,2.067201233E-1,9.778116302E0
1.418241126E2,4.041595459E-2,2.186952209E-1,9.776769104E0
1.420738036E2,3.367996216E-2,2.165995789E-1,9.779762878E0
1.423234946E2,3.457809448E-2,2.055226135E-1,9.770931244E0
1.425731872E2,3.981719971E-2,2.022294617E-1,9.779164124E0
1.428228782E2,3.966751099E-2,2.086660767E-1,9.773475952E0
1.430725702E2,4.924758911E-2,2.157014465E-1,9.779014435E0
1.433222612E2,4.819976807E-2,2.198927307E-1,9.782307587E0
1.435719552E2,4.296066284E-2,2.080673218E-1,9.782606964E0
1.438216472E2,3.891906738E-2,2.113604736E-1,9.763746185E0
1.440713382E2,4.206253052E-2,2.127076721E-1,9.782008209E0
1.443210302E2,4.191284180E-2,2.124082947E-1,9.777517548E0
1.445707181E2,4.311035156E-2,2.119592285E-1,9.774074707E0
1.448204101E2,2.993774414E-2,2.070195007E-1,9.778565369E0
1.450701011E2,2.739303589E-2,2.158511353E-1,9.777966614E0
1.453197931E2,5.164260864E-2,2.058219910E-1,9.780810699E0
1.455694841E2,4.296066284E-2,2.101629639E-1,9.778116302E0
1.458191758E2,4.490661621E-2,2.143542480E-1,9.782606964E0
1.460688668E2,4.191284180E-2,2.128573608E-1,9.781559143E0
1.463185578E2,4.086502075E-2,2.052232361E-1,9.781110077E0
